bin,count,mean_delta_f10_act_pct
<0%,78,-0.06266220487327835
0-2%,13,1.6156588450048301
2-5%,31,3.4098788284281083
5-10%,26,6.898297494958679
10-20%,25,16.21586668464467
>20%,21,33.94201085946908
