symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a,stop_loss_pct
ZM,1.029921245662033,1.0303996199263092,88.91318320344122,86.29,,,0-1,False,-0.012679149245830246
RCI,1.0295901278858317,1.0300630537869242,38.864279019380646,37.73,,,0-1,True,-0.0485753284524898
SHOP,1.0295284631713553,1.0300003747952313,165.7991603307884,160.97,,,0-1,False,-0.026580639256056693
WMT,1.0286120124971951,1.0290688642462966,114.6485621656799,111.41,,,0-1,False,-0.009583955043769188
SNDX,1.023167010593104,1.0267175786765728,21.571336327994796,21.01,,,0-1,True,-0.07636157384310771
CVE,1.0253331503681713,1.0257363381751268,17.355458841923145,16.92,,,0-1,False,-0.04553701674860733
NX,1.021829058668502,1.0251695284461912,15.767107347502423,15.38,,,0-1,False,-0.14449949767850978
PEP,1.0245905570489857,1.0249816382137198,147.1053647164331,143.52,,,0-1,False,-0.014390304852830105
AHL,1.0243527747180674,1.024739982948972,38.017853367406865,37.1,,,0-1,False,-0.0035403616986137143
ITGR,1.0233669666921903,1.0237381373781667,80.29178211456961,78.43,,,0-1,True,-0.13801327080337522
GOOGL,1.0232485497495407,1.0236177960408661,320.3923701607911,313.0,,,0-1,False,-0.039965717572870485
CRTO,1.019549161327033,1.022533048061027,21.074406120537766,20.61,,,0-1,True,-0.057819577733612015
BIIB,1.0217901178117785,1.022135699389329,179.885661735528,175.99,,,0-1,False,-0.03601959058005921
PAR,1.0167533098806936,1.0193023725126988,36.98029007476072,36.28,,,0-1,False,-0.06590914229423062
ASIX,1.016467143143484,1.0189718522680575,17.628213044237395,17.3,,,0-1,True,-0.11486783783062682
PRCT,1.0163084952895471,1.0187886274885614,32.051090220790144,31.46,,,0-1,False,-0.023588657674272984
FSLR,1.0184540629131453,1.0187457654869412,266.12695631815365,261.23,,,0-1,False,-0.054423202485264444
MDB,1.0177742396016134,1.0180550057353233,427.2675053570578,419.69,,,0-1,False,-0.046779164110643645
IMVT,1.0155975449912775,1.017967647185948,25.876737591466803,25.42,,,0-1,False,-0.13306728688704217
GPCR,1.0136261756752638,1.0156920928451478,70.64138505738003,69.55,,,0-1,True,-0.4699090045141532
MD,1.015361707372333,1.015603780312072,21.723764860875225,21.39,,,0-1,False,-0.018622617145059417
PRU,1.0147367772826694,1.0149688572659534,114.56968460818082,112.88,,,0-1,False,-0.02929138226795791
VERA,1.012893249794429,1.014846417656351,51.39182259011761,50.64,,,0-1,True,-0.19564824743509135
AAPL,1.014504140099123,1.0147325032388093,275.8651783305027,271.86,,,0-1,False,-0.011995570737387329
STZ,1.0063337641315178,1.0139254041210326,138.9651907906224,137.056621942608,,,0-1,False,-0.030804538812371995
QUAD,1.0120250824685526,1.0138449360579502,6.356807749083347,6.27,,,0-1,False,-0.049902478083760915
FLOC,1.0113886809635233,1.0131109749964669,18.985699671433785,18.74,,,0-1,True,-0.06316767235131793
TEAD,1.0112085552408252,1.0129032615878015,0.7129826058316535,0.7039,,,0-1,False,-0.2143075417120267
NESR,1.0110259824779881,1.0126927377726351,15.858768273519468,15.66,,,0-1,True,-0.0910893612552175
UTZ,1.0108333221375687,1.0124705944814956,10.509444770717925,10.38,,,0-1,True,-0.10316520444281696
GDYN,1.0102406321849169,1.0117872849950194,9.136439183505024,9.03,,,0-1,False,-0.0045773687268465535
LKQ,1.0096986431676573,1.011162534369527,30.537108537959714,30.2,,,0-1,False,-0.055672144055293304
BRZE,1.009645571695028,1.01110136433604,34.67066578308281,34.29,,,0-1,False,-0.15011681040765368
HBM,1.0094659442959313,1.010894333491248,20.066252519801274,19.85,,,0-1,True,-0.14816087815681267
IMXI,1.0106969631846061,1.0108647415649488,15.526882430437611,15.36,,,0-1,False,-0.002244494232387373
AHCO,1.0091521362719196,1.010532678483015,10.06490547769083,9.96,,,0-1,False,-0.06948431998780391
TX,1.0096131435256646,1.0097637583270238,38.56287793050904,38.19,,,0-1,False,-0.022828672380816872
SPB,1.0084057511480549,1.0096726267157832,59.65145878636847,59.08,,,0-1,False,-0.03946160239678731
LW,1.0081137745520103,1.0093362373506642,42.28109498261932,41.89,,,0-1,False,-0.14518439135677008
CSTM,1.0079338921756733,1.0091290075518569,19.022081792352502,18.85,,,0-1,True,-0.07612360571996124
AENT,1.0074240183474186,1.0085416784206316,8.149016761638704,8.08,,,0-1,True,-0.17240549771027425
KINS,1.0073977959055243,1.0085114749284412,16.973248123045664,16.83,,,0-1,True,-0.14471701883822918
CLS,1.0073080603014917,1.0084081175957573,298.09552364248185,295.61,,,0-1,False,-0.09965219652653112
DOX,1.0072820305530228,1.0083781370895823,81.18452381708228,80.51,,,0-1,True,-0.06433853701465742
LFST,1.0070063858670772,1.0080606697620962,7.096747115125157,7.04,,,0-1,True,-0.09987166487322174
