bin,count,mean_delta_f10_act_pct
<0%,53,-0.41821024697496273
0-2%,12,1.220364825471089
2-5%,25,2.085445911862622
5-10%,38,8.743346423625255
10-20%,18,13.741865983593037
>20%,23,39.40733299807225
