symbol,actual1_T
AAPL,273.67
ACCO,3.79
ADV,0.9137
AENT,7.82
AHCO,9.97
AHL,37.1
AII,20.54
ALAB,164.4
ALIT,1.94
ALK,52.0
AMTM,29.21
AMZN,227.35
ARCO,7.14
ARDT,8.81
ASIX,16.56
ASML,1056.02
ATR,121.39
AVGO,339.713306050862
AVNW,20.87
AXON,594.2
BA,214.08
BHVN,10.85
BIIB,174.8
BILL,55.98
BMRN,61.15
BRZE,35.47
BTM,1.36
BWMX,13.79
CAL,13.1108913857678
CBZ,52.33
CCJ,89.99
CDE,18.25
CG,59.54
CHA,12.45
CHE,435.33
CHMI,2.53075471698113
CIVI,27.1
CLDX,25.6
CLS,292.29
CMPS,6.37
CON,19.43
COP,91.94
COUR,7.57
CPRX,23.74
CRM,259.91
CRNT,2.14
CRNX,48.01
CRTO,19.5
CSTM,18.76
CTRA,25.38
CVE,16.66
CVNA,450.22
CVS,77.0998812166297
CWAN,22.25
CWT,42.88
DAR,34.37
DAVA,6.84
DBRG,13.1814071661238
DDI,8.59
DDL,2.54
DDOG,140.39
DHR,224.528047173084
DIS,111.24
DOX,79.9566222836482
DUOL,185.96
DVN,35.84
DXCM,66.06
EEFT,77.02
EFX,219.16
ENOV,26.76
ERIE,282.373566108251
EVH,3.99
FANG,148.13
FINV,5.18
FLOC,18.05
FSLR,266.98
GDEV,17.04
GDYN,9.32
GE,306.855458742066
GOOGL,307.16
GPCR,64.94
HAL,27.72
HBM,19.27
HLF,13.99
HQY,95.5
HRTG,28.96
HTO,48.95
IBM,300.98
IDYA,33.55
IMCR,36.01
IMVT,26.68
IMXI,15.36
INSW,48.37
ITGR,78.58
JANX,13.79
KELYA,8.81
KINS,16.94
KNF,73.46
KO,70.06
KOP,27.49
KRO,4.62
LFST,7.05
LKQ,29.74
LNTH,65.92
LVO,4.76
LW,43.94
MA,571.366309050849
MANH,175.85
MATV,12.49
MAX,12.8
MD,21.91
MDB,430.64
MDLZ,53.9984354868397
MDXG,7.05
META,658.77
MNKD,5.84
MPAA,12.86
MRVL,84.029416426513
MSFT,485.92
MTDR,41.11
MU,265.816154982427
NESR,14.72
NRDS,14.37
NVDA,180.99
NX,15.44
PACS,36.39
PAR,37.13
PEP,148.16
PFE,24.7746740797546
PFGC,91.66
PG,143.450354084605
PMTS,15.79
PRCT,32.06
PRU,114.99
QUAD,6.47
RARE,33.5
RCI,36.62
RCKT,3.23
SBUX,88.33
SHOP,169.57
SLB,38.08
SLGN,40.85
SLP,18.75
SLVM,49.3268850764779
SMCI,31.11
SMP,38.1
SNDX,20.77
SNPS,463.73
SPB,59.74
SPGI,512.6
SPNT,22.1
SPRY,10.49
SSTK,18.29
STZ,134.125938884252
TBLA,4.01
TCOM,72.22
TEAD,0.7409
TNC,74.58
TRVG,2.9
TSLA,481.2
TWLO,141.74
TX,37.22
TXG,16.05
TXO,10.68
UAL,113.99
UBER,79.31
UHS,227.46
UIS,2.81
UPWK,20.6
UTL,47.83
UTZ,10.27
VCEL,36.05
VERA,51.22
W,101.7
WDAY,218.63
WELL,186.01
WMT,114.36
XPO,138.52
ZBH,88.895009337581
ZM,89.82
ZTS,121.716551668417
