symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b
RCKT,1.0273864263997277,1.101118704700319,4.085150394438184,3.71,0.46,True,-0.03873558751133577,0.6806569343065692
PAR,1.0166498782509001,1.0536685332767126,40.4819450484913,38.42,0.21,True,-0.23841315590725365,0.787519448299063
DVN,1.0051904002521614,1.0502856546854338,38.146374978174954,36.32,0.1,False,0.08833752846697829,0.503142989479256
TXO,1.022651021686669,1.0451579765541903,11.26680298725417,10.78,-0.19,False,-0.20669379705196234,0.651239481464634
ASIX,1.0138086206274515,1.0442165301936335,18.733244551673785,17.94,-0.1,False,-0.1004813477737665,0.6916493003870208
QCOM,1.0224014328777704,1.0427190317426351,168.2844245329439,161.39,0.17,False,0.01769024230599947,-0.07861740166865312
KO,1.0276275590014654,1.0420714628721186,73.44519670322693,70.48,0.18,False,0.020714065376098656,0.6510511099132654
MRVL,1.0280013720800782,1.039067910504736,83.52027864637068,80.38,0.24,True,0.07112921645525261,0.05573789651041598
BMRN,1.0163414885160116,1.0375123131013393,57.13580308249075,55.07,0.19,False,-0.032023890922960874,0.20512289919746632
IDYA,1.008530229559606,1.0369797082075387,37.39348827796385,36.06,0.29,True,0.40318381863674047,0.6291411524572156
IBM,0.9981045677341477,1.0349287124978415,308.35700988873185,297.95,0.3,True,0.09371960105572663,0.28353935891261234
AAPL,1.0208441914508657,1.0280953978020433,265.46451266646557,258.21,0.11,False,0.11413922951653421,0.21124894369374875
SHOP,1.0286784102514506,1.026009664137188,162.09926683703435,157.99,0.38,True,0.1792137728944292,0.04877702606803294
UPWK,1.0280919000281246,1.0259880076739105,20.673658354629296,20.15,0.35,True,0.25159943848839084,0.3568033273915621
ATR,1.0072679599351302,1.0223859878594532,127.91071094109618,125.11,0.43,True,-0.09473548635446338,0.8606384067114545
AHL,1.0230713894112589,1.0220665922245946,38.143525221821875,37.32,0.41,True,,0.9639737991266438
SNPS,1.0259338009884125,1.020590898882998,518.6540889033507,508.19,0.21,True,0.03084084149262689,0.6925022964119517
COP,1.0033950492596941,1.0182119525416455,100.731708464945,98.93,0.24,True,0.0895734440565219,0.8465756449416708
CAL,1.0098834398342336,1.0172470941726475,14.017664957699083,13.78,0.09,False,0.0014025449286736436,0.7665673864482502
PG,1.0041372738287624,1.0167067858649228,147.0463024396438,144.63,0.14,False,-0.05851918731777239,0.6431976900349182
ZTS,1.0094862894212657,1.0154365714268396,127.21389366835447,125.28,0.24,True,-0.13582120438711454,0.4718887607464885
CVE,0.9980712661672613,1.0154341307541435,18.369203425342455,18.09,0.34,True,0.18851301188513014,1.002209806537691
MATV,1.0066406684200229,1.0153255410048765,13.310917842573929,13.11,0.17,False,0.4158278975333707,0.8244924304659071
BIIB,1.010295835873701,1.0148930312951538,171.08051828542406,168.57,0.16,False,0.17759077655185318,0.10881463859624035
WELL,1.0109514340837698,1.0139710281132326,190.8090680703481,188.18,0.27,True,0.12588249371784155,0.709884442376301
TBLA,1.0015696352360008,1.013730602159754,4.257668529070967,4.2,0.08,False,0.19152316377769574,0.3936170212765962
SPB,1.0047681962443782,1.0137216305386396,64.34091189028746,63.47,0.36,True,0.1203665948234014,0.7793431120687274
INSW,1.0005719483948032,1.0128561434331926,56.49711568070349,55.78,0.39,True,0.318479753606437,0.8842707368798353
SLVM,1.013977528602657,1.012063148748171,52.9005407850669,52.27,0.13,False,0.07995421506522704,0.9521214365049987
HBM,0.9973519107764478,1.0114128415514032,23.01975627370994,22.76,0.4,True,0.7858684138255718,0.9068900572863535
CVX,1.004467520513264,1.011066403171016,167.998793550896,166.16,0.17,False,0.12496784065212396,0.9120974349278371
PEP,1.0141269806175317,1.0098509449027557,148.0138529943969,146.57,0.14,False,0.05200977865949663,0.7125563063063066
EFX,1.0058885640251052,1.0093454443832677,221.25861486325613,219.21,0.0,False,-0.08441653638714375,0.503047322213822
IMXI,1.0082818302733552,1.0084114128244763,15.630376898779383,15.5,0.23,True,0.1848975254752967,0.8469520103761378
SLGN,1.004684757473602,1.008209967148948,43.100976095617526,42.75,0.08,False,-0.08254518062592953,0.8732427783379801
PRU,0.9972077181309433,1.0081270732553875,117.37623513912477,116.43,0.17,False,0.11879631622643827,0.5996366445410859
SLB,0.9990906987352592,1.0075353535311533,46.92092141394581,46.57,0.24,True,0.3202208967409792,0.8861043493562486
CRNT,1.0287899641105,1.0067372082141688,2.3557650672211548,2.34,0.49,True,0.04571658399249223,1.054486230381995
FLOC,1.009391752645475,1.0062304273023939,19.993798590498567,19.87,0.43,True,0.13435255700307147,0.9199753295813741
DBRG,1.0033345959120215,1.0057987151510128,15.418894303265027,15.33,,,0.3773956171325372,0.6776388142919259
DDL,0.9985775273412237,1.0057064628759396,2.7355215790225555,2.72,-0.22,False,0.25132262961770246,0.4426430100948304
WMT,0.9986189653907612,1.0054489407540033,119.84951373787719,119.2,0.21,True,0.17757703645746892,0.9315333111899728
MDLZ,1.0055172106933052,1.0051166062268935,57.593181536801,57.3,0.01,False,-0.06783190390046467,1.0710432511770638
HAL,0.9975110198581497,1.0050495339184162,32.94552372184568,32.78,0.25,True,0.40234094253739006,0.851860453745355
DOX,1.0060121664369022,1.0040488136621106,84.6312745035793,84.29,0.51,True,1.4236766925357358e-05,0.9068311139790012
LW,1.0139818019855174,1.0010679699970293,43.97691592196949,43.93,0.17,False,-0.19515443764324802,0.5056492883795562
