symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a,stop_loss_pct
KNF,1.0087887014015813,1.0739182934252567,73.61709901430135,68.55,68.92,1.068152916632347,0.74,True,-0.09069017962861547,0.3245188721467994,0.9724462572725169,1.0642158059825406,True,-0.0004060854809937453,<0,False,False,0.010447343757352234
DDI,1.028501262261494,1.0558358051517354,9.270238369232235,8.78,8.86,1.0463022990104103,0.34,True,-0.04327896812706544,0.7065951529598716,1.0450048888774923,1.0254938892751424,True,-0.0004060854809937453,<0,True,True,-0.022415226365236296
MD,1.0161268329989368,1.0557297340505845,21.67941008872875,20.535,20.67,1.0488345471083091,,,0.25351135976304917,0.27538626417790396,0.9929652401744493,1.055093513323906,True,-0.0004060854809937453,<0,False,False,0.03238645481462776
UPWK,1.0238248684251956,1.0516117469034882,22.3993302090443,21.3,20.51,1.0921175138490637,0.51,True,0.33134473732270053,1.0145342669212816,1.0971996183710164,1.0506825363007504,True,-0.0004060854809937453,<0,True,True,-0.1074172235329044
UIS,1.0200742673903687,1.0470195152640276,2.915949350010317,2.785,2.73,1.0681133150220943,0.35,True,-0.2499210443204547,0.34936398125418433,0.9768674539398048,1.0256521960538827,True,-0.0004060854809937453,<0,False,False,-0.08031764548192133
DAVA,1.0134334100028521,1.042508788016796,7.04735940699354,6.76,6.61,1.0661663248099154,,,-0.3980501682683967,0.7784174167887801,1.05594237443715,1.0281783941815896,True,-0.0004060854809937453,<0,True,True,-0.08485238627386116
PRU,1.02444722730894,1.0397190878668778,111.68662441866002,107.42,107.7,1.0370160113153204,0.06,False,0.04310339051673728,0.23254090693747692,0.985034192970406,1.038776959831159,True,-0.0004060854809937453,<0,False,False,-0.00644689503362017
EFX,1.0059998523866316,1.038268991163211,215.9703328518595,208.01,205.28,1.0520768357943273,0.03,False,-0.1025068633181847,0.4451909476661954,1.0014738194635326,1.0318474409742056,True,-0.0004060854809937453,<0,False,False,-0.0005211507709285135
PG,1.0271787463005093,1.0354390173588253,153.61773261535532,148.36,147.32,1.042748660163965,0.15,False,-0.016593383171372933,0.8921687204970674,1.0681561595829896,1.034398709660268,True,-0.0004060854809937453,<0,True,True,-0.07871774158995959
TXG,0.9949309885279243,1.0346448438236762,22.36902152346788,21.62,21.08,1.0611490286275085,0.47,True,0.6874156292185392,0.7780389440087092,1.1045066793466425,1.040111338922553,True,-0.0004060854809937453,<0,True,True,-0.29852668411124617
CON,1.0075124330834546,1.0338129956919675,22.371713226774176,21.64,21.5,1.0405448012453105,0.38,True,0.06666923154609328,0.8758229700073151,1.0785966890906722,1.0258190804617395,True,-0.0004060854809937453,<0,True,True,-0.13442280291489606
DHR,1.0285594936781741,1.0335564773950778,243.57825502769796,235.67,224.53,1.084836124471999,0.23,True,0.14197745280797847,0.5818035725322955,1.0348012950092633,1.0324667717743534,True,-0.0004060854809937453,<0,False,False,-0.03151025239396432
SLP,1.0042708691963398,1.0326402991535033,20.20877065443406,19.57,18.63,1.0847434597119732,-0.33,False,0.019089559272904122,0.6793201133144473,1.0375710147576145,1.028086206903124,True,-0.0004060854809937453,<0,True,True,-0.10127635936540835
CWAN,1.0294623713286275,1.0299331959899622,24.85228801923779,24.13,24.13,1.0299331959899622,0.29,True,0.136288719991712,0.4134675896790388,1.0287607583250664,1.0288139638591574,False,-0.0004060854809937453,<0,False,False,-0.0055708428114895625
MATV,1.0117037753479143,1.0288914994156242,12.850854827701147,12.49,12.29,1.0456350551424856,0.16,False,0.3264847109037461,0.5377913685668129,1.018736757517234,1.0165482491547118,False,-0.0004060854809937453,<0,False,False,-0.060390073709616465
SNPS,1.026859755730544,1.0279213843315966,516.7360799034936,502.7,511.35,1.010533059359526,0.2,False,0.0121345069835892,0.45044164357212446,1.020929025796057,1.02690043375777,False,-0.0004060854809937453,<0,False,False,-0.06990801296584126
BA,1.0099310747991517,1.0261545922734103,250.93584399453977,244.54,241.62,1.0385557652286224,0.2,False,0.1713003824654311,0.7269312935014818,1.0519169653220477,1.025771440180658,False,-0.0004060854809937453,<0,True,True,-0.13750916514497136
TNC,1.0117024717573055,1.0250063528337896,77.45973008364948,75.57,75.52,1.0256849852178163,0.43,True,-0.00820762368207617,0.4276443288453698,1.006003183007883,1.012711065095709,False,-0.0004060854809937453,<0,False,False,-0.03435596838300825
TWLO,1.0226081958914524,1.0241902310080973,137.04689481119348,133.81,135.89,1.0085134653851902,-0.41,False,0.14707413470693398,0.5708861553909876,1.0405121425787782,1.0233304434448471,False,-0.0004060854809937453,<0,False,False,-0.1367303241497716
KELYA,1.0198988578741766,1.023950130604559,10.341896319106047,10.1,9.94,1.0404322252621778,,,-0.11591097896900004,0.7022634711779444,1.0780107696988634,1.003232637671475,False,-0.0004060854809937453,<0,True,True,-0.19805338520947324
KOP,1.0213442915454747,1.023905800945249,29.846854097554008,29.15,29.25,1.0204052682924447,0.04,False,3.776318364234754e-05,0.6971761144169537,1.0518900455533668,1.001715819915516,False,-0.0004060854809937453,<0,True,True,-0.1012306617413039
BHVN,1.015029117926549,1.023739881207031,12.960546896081013,12.66,12.18,1.0640843100230717,0.23,True,-0.11784460493425386,0.701552737107153,1.0913685231005863,1.008020626092522,False,-0.0004060854809937453,<0,True,True,-0.2387198767724954
AHL,1.0225471367711343,1.0227680400587165,38.195272455992765,37.345,37.32,1.0234531740619712,0.39,True,,0.8096627756160997,1.0255278619928516,1.02191171411444,False,-0.0004060854809937453,<0,False,False,-0.008393804209855138
MDB,1.0234051507174464,1.022186184195911,421.0282674084538,411.89,411.04,1.024299988829442,,,0.43728475677821743,0.5457480465397926,1.0308594793124648,1.02129852196444,False,-0.0004060854809937453,<0,False,False,-0.08567104978478757
FLOC,1.0076921890241306,1.0221443609829368,20.943737956540375,20.49,19.81,1.0572305884169801,0.22,True,0.1847692096973017,0.8452812136950728,1.0604692755026899,1.0140529987946538,False,-0.0004060854809937453,<0,True,True,-0.12923418368244965
SPGI,1.0040875556429776,1.0211269815381165,537.745891017603,526.62,528.03,1.018400263275956,0.18,False,0.04459274973823235,0.5150332754473581,1.0057481748502175,1.0168161684389567,False,-0.0004060854809937453,<0,False,False,-0.0188263933915791
LKQ,1.0058592531845698,1.0209490072920815,33.99760194282631,33.3,32.57,1.04383180665724,0.11,False,0.011813984425794954,0.7191541182610715,1.0417112829219706,1.0147816877686244,False,-0.0004060854809937453,<0,True,True,-0.1123221544879397
BIIB,1.0264047792114164,1.020928239917997,177.76402513452166,174.12,174.83,1.0167821605818317,0.14,False,0.19329899749649848,0.39309714029717063,1.0101175686045663,1.0199309693934497,False,-0.0004060854809937453,<0,False,False,-0.06461511113438667
WMT,1.013507918469399,1.01978848988275,119.25406600688878,116.94,116.57,1.0230253582129947,0.22,True,0.1477487480035864,0.6157199314754821,1.025616454084384,1.0192724000756779,False,-0.0004060854809937453,<0,True,False,-0.06420096315296553
