symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x
SNPS,0.9999173489469442,598.2899490087458,20250920,425.4,20250918,1.4064173695551148
NX,0.9991566510371291,18.22664747384962,20250920,14.63,20250918,1.2458405655399603
VCEL,0.9994258954181383,34.10941036650212,20250920,30.02,20250918,1.1362228636409766
PAR,0.9994346291896031,48.38298876208314,20250920,42.83,20250918,1.1296518506206663
ALK,1.0311298400472706,65.37552157902255,20250920,58.49,20250918,1.1177213468801939
STZ,0.9997614476690121,148.5374659529214,20250920,133.04,20250918,1.1164872666335042
TXG,1.0198118819187285,14.241124426596404,20250920,12.86,20250918,1.107396922752442
AMTM,0.9998875469045454,24.248268916366403,20250920,22.24,20250918,1.0902998613474102
LNTH,0.9994013818053616,54.84961647434167,20250920,50.84,20250918,1.0788673578745411
PFE,1.0394900715149407,25.878995730226503,20250920,24.05,20250918,1.0760497185125364
ZBH,1.0121231679506792,107.03271051253155,20250920,99.92,20250918,1.0711840523672094
DAVA,0.9991536158471114,10.206214861668862,20250920,9.55,20250918,1.068713598080509
SPRY,0.9978365030347741,10.217169965556103,20250920,9.57,20250918,1.0676248657843368
LW,1.0236282400772403,59.39307193536611,20250920,55.65,20250918,1.0672609512195168
SLVM,1.0450926743158828,47.460822764718024,20250920,44.47,20250918,1.0672548406727687
MD,1.0,17.07,20250920,16.18,20250918,1.0550061804697157
UHS,1.0366051940975185,197.19580141585055,20250920,187.39,20250918,1.0523283068245401
PRU,1.0233588899126642,108.22003952318217,20250920,103.01,20250918,1.050577997506865
PEP,1.0132433358924011,148.360381025698,20250920,141.23,20250918,1.050487722337308
SLGN,0.9996880224291984,45.21278265424358,20250920,43.2,20250918,1.0465921910704532
HLF,0.9867192105430996,9.726967905271344,20250920,9.31,20250918,1.044787100458791
AVGO,1.0045505923259384,361.53415620386977,20250920,346.17,20250918,1.044383268925296
HAL,1.0495878341183733,23.214457548292884,20250920,22.25,20250918,1.0433464066648488
MATV,1.0311847276918276,12.824076205139601,20250920,12.34,20250918,1.039228217596402
AMZN,1.0327832575468014,240.073471929017,20250920,231.62,20250918,1.0364971588335075
SMP,1.0391377223113167,41.5813650576975,20250920,40.16,20250918,1.0353925562175672
MDXG,0.9993017358564851,7.155159680005079,20250920,6.94,20250918,1.031002835735602
AHL,1.0270450062707557,37.61652584879605,20250920,36.6,20250918,1.027773930294974
EEFT,0.999604467844516,91.26950322217108,20250920,88.82,20250918,1.0275782844198502
HTO,0.9997777375926202,49.823584982778044,20250920,48.52,20250918,1.0268669617225483
IMXI,1.025919424611784,14.86152600752369,20250920,14.48,20250918,1.0263484811825752
GDYN,0.9992396326402643,7.777945945302455,20250920,7.58,20250918,1.0261142408050732
CVS,1.0277430005901755,75.86082276471802,20250920,74.0,20250918,1.0251462535772706
MDB,0.9941879384810512,322.8223298042888,20250920,315.38,20250918,1.0235979764230099
XPO,1.0140922707828937,132.78499952381708,20250920,129.73,20250918,1.0235489056025366
CBZ,0.9993698820353764,58.06100121426644,20250920,56.8,20250918,1.0222007256032823
RCI,1.0172707498696023,36.520019920318724,20250920,35.75,20250918,1.021539018750174
BILL,1.0277377824444702,52.99331288392247,20250920,51.94,20250918,1.020279416325038
MANH,1.0144293669837727,218.4676297201632,20250920,214.95,20250918,1.0163648742505849
DOX,0.9997839988447303,85.38593502484088,20250920,84.08,20250918,1.015532053102294
UAL,1.0047736353543264,107.10706814177553,20250920,105.51,20250918,1.0151366518981664
KINS,0.9994039756324751,13.734836708941128,20250920,13.54,20250918,1.0143897126248986
DDOG,0.9998269455192026,136.15145422294884,20250920,134.23,20250918,1.0143146407133192
W,0.9768358187742268,87.50156680052697,20250920,86.36,20250918,1.0132186984776166
ATR,0.9997048343374992,136.37208635577213,20250920,134.65,20250918,1.012789352809299
WELL,0.9999373114803846,167.85190723163123,20250920,165.91,20250918,1.0117045821929433
TRVG,0.9996897647499566,3.343145783400263,20250920,3.32,20250918,1.0069716215061033
CVNA,1.0303336162981325,380.2554991190616,20250920,378.06,20250918,1.005807276937686
MA,1.0254982389467648,599.3630684433581,20250920,598.63,20250918,1.0012245768560848
AAPL,0.9957124878116422,238.64582355835623,20250920,238.99,20250918,0.9985598709500658
PFGC,1.027309649528546,108.34670608403042,20250920,108.72,20250918,0.9965664650849008
COUR,0.9999149104497745,11.262906104665005,20250920,11.32,20250918,0.9949563696700534
FINV,0.9995697899851976,7.920336145458009,20250920,7.97,20250918,0.993768650622084
SHOP,0.9999038674309673,146.8628126140855,20250920,147.87,20250918,0.993188696923551
ZM,1.0234591907745085,85.67548142092983,20250920,86.3,20250918,0.9927634000107743
FSLR,1.0180810994533116,208.91007936381962,20250920,210.71,20250918,0.9914578300214495
SPGI,0.9998491785353641,538.3062099807939,20250920,544.1,20250918,0.9893516081249658
TXO,0.9994444721665441,13.883398636529579,20250920,14.04,20250918,0.9888460567328761
INSW,1.0354040819108046,48.474236520055236,20250920,49.03,20250918,0.9886648280655769
FANG,0.9996927237949184,138.83939655719752,20250920,140.47,20250918,0.9883918029272978
MDLZ,0.9997972367093124,61.77798907953842,20250920,62.83,20250918,0.9832562323657238
NVDA,0.9997653595626046,167.13894057237187,20250920,170.29,20250918,0.9814959220880373
EFX,1.0304877574139946,257.4084518499706,20250920,262.33,20250918,0.9812390952234614
TCOM,1.0335445111150559,75.27242908842717,20250920,76.79,20250918,0.980237388832233
HBM,1.0411426622640163,13.252128378914621,20250920,13.52,20250918,0.9801870102747501
