symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
LVO,LiveOne Inc.,0.51,0.52,0.52,0.82,-0.7%,2.1%,58.7%,63.2%
GDEV,GDEV Inc.,31.51,21.61,21.47,33.61,-0.6%,-31.8%,55.5%,6.7%
GPCR,Structure Therapeutics Inc.,24.45,23.78,23.66,36.04,-0.5%,-3.2%,51.6%,47.4%
CMPS,COMPASS Pathways plc,5.04,4.94,4.92,7.41,-0.5%,-2.4%,50.0%,47.0%
PACS,PACS Group Inc.,13.38,12.06,12.00,17.67,-0.5%,-10.3%,46.5%,32.0%
VERA,Vera Therapeutics Inc.,26.11,25.74,25.68,34.91,-0.2%,-1.6%,35.6%,33.7%
CLDX,Celldex Therapeutics Inc.,24.86,24.74,24.70,32.55,-0.2%,-0.7%,31.6%,30.9%
FLOC,Flowco,15.36,15.32,15.30,19.91,-0.1%,-0.3%,29.9%,29.6%
PMTS,CPI Card Group Inc.,15.71,15.69,15.68,20.23,-0.1%,-0.2%,28.9%,28.8%
ACCO,ACCO Brands Corporation,4.04,4.12,4.11,5.25,-0.1%,1.7%,27.4%,29.7%
CRNX,CRINETICS PHARMACEUTICALS INC.,33.72,34.05,34.03,42.97,-0.1%,0.9%,26.2%,27.4%
NX,Quanex Building Products Corporation,13.96,13.80,13.78,17.32,-0.2%,-1.3%,25.5%,24.1%
DDI,DoubleDown Interactive Co. Ltd.,9.47,9.51,9.50,11.92,-0.1%,0.4%,25.4%,25.9%
BTM,Bitcoin Depot Inc.,3.63,3.67,3.67,4.59,-0.0%,1.2%,25.0%,26.5%
MNKD,MANNKIND CORPORATION,5.57,5.45,5.44,6.72,-0.1%,-2.3%,23.3%,20.6%
UIS,Unisys Corporation,4.11,4.03,4.03,4.94,-0.0%,-1.7%,22.3%,20.2%
CRNT,Ceragon Networks Ltd.,2.47,2.50,2.50,3.06,-0.0%,1.2%,22.3%,23.8%
EVH,Evolent Health Inc.,8.60,8.41,8.40,10.16,-0.1%,-2.3%,20.8%,18.2%
IDYA,IDEAYA Biosciences Inc.,25.92,25.82,25.81,31.09,-0.1%,-0.4%,20.4%,20.0%
KOP,Koppers Holdings Inc.,28.87,29.09,29.10,34.90,0.0%,0.8%,20.0%,20.9%
TEAD,Teads Holding Co.,1.72,1.69,1.68,2.02,-0.1%,-2.1%,19.6%,17.2%
SLP,Simulations Plus Inc.,15.03,15.29,15.30,17.78,0.1%,1.8%,16.3%,18.3%
ENOV,enovix corporation,32.35,32.44,32.46,37.34,0.1%,0.3%,15.1%,15.4%
ADV,Advantage Solutions Inc.,1.74,1.77,1.77,2.04,0.0%,2.0%,14.8%,17.1%
CHMI,Cherry Hill Mortgage Investment Corporation,2.52,2.54,2.54,2.90,0.0%,0.5%,14.3%,14.8%
TXO,TXO Partners L.P.,13.81,13.95,13.97,15.87,0.1%,1.2%,13.7%,14.9%
SPB,Superior Plus Corp.,52.64,52.74,52.77,59.18,0.1%,0.3%,12.2%,12.4%
ARDT,Ardent Health Inc.,13.04,12.84,12.87,14.39,0.2%,-1.3%,12.0%,10.4%
AMRK,A-Mark Precious Metals Inc.,27.10,26.88,26.91,29.93,0.1%,-0.7%,11.4%,10.5%
AENT,Alliance Entertainment Holding Corporation,6.87,6.92,6.93,7.69,0.1%,0.9%,11.0%,12.0%
DAR,DARLING INGREDIENTS INC.,31.22,31.99,32.01,35.50,0.1%,2.5%,11.0%,13.7%
