symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2
SPNT,1.0053850054328142,0.973886984103874,20.92883128839225,21.49,21.63,0.9675835084786061,,
PRU,1.0020162486923405,0.9715339744914222,108.50091427120203,111.68,111.33,0.9745882895104827,0.19,False
WMT,1.0077130892636248,0.9675588794013997,111.37570260789512,115.11,113.605,0.9803767669371517,0.23,True
QUAD,1.015587094182649,0.9673948726347349,5.843065030713799,6.04,6.085,0.9602407610047328,,
FANG,1.004471301285271,0.9670532401925684,153.37464389454135,158.6,157.52,0.9736836204579821,0.29,True
STZ,1.0069812915487346,0.9656203743239231,137.47537269249693,142.37,142.02,0.9680000893711936,0.07,False
FLOC,1.0153465379566236,0.9594440476253463,17.269992857256234,18.0,17.835,0.9683203171996767,,
TX,0.9993694669774189,0.9576714420721582,36.803313518833036,38.43,37.22,0.9888047694474218,,
ASML,0.9885838367894695,0.9529257560997851,1047.7132810590308,1099.47,1119.69,0.9357172798355177,0.46,True
NESR,1.0066181027375196,0.9445953222825948,14.046132442342184,14.87,14.41,0.9747489550549746,,
CVNA,1.0032176518665876,0.9402545209308911,375.8855498325423,399.77,448.2,0.8386558452310181,,
TSLA,0.9773276226735246,0.9236685237509749,420.26917830669356,455.0,439.58,0.9560698355400463,0.12,False
MRVL,1.0002000201485761,0.9040597680508563,89.4205516579102,98.91,92.0,0.9719625180207629,,
CAL,1.0165746449126283,0.89524488429928,11.933614307709401,13.33,13.52,0.8826637801560209,0.0,False
ALK,1.014868767827134,0.8780268197920035,43.59403160267297,49.65,49.2,0.8860575528998571,,
ERIE,0.842778351974767,0.8379766143109284,248.42654707861783,296.46,280.81,0.8846784198519206,,
MDB,1.0280465095185074,0.834530974872649,341.8405779273345,409.62,418.71,0.8164136942689081,,
VERA,1.0221327593466787,0.7708536566871053,34.61132918525102,44.9,45.03,0.7686282297413063,,
