bin,count,mean_f10_vs_a1_pct,trend_7d
<0%,249,-3.601513172139848,
0-2%,66,0.8753325819734143,
2-5%,87,3.475530851220867,
5-10%,57,7.123618888161002,
10-20%,78,14.451638459828395,
>20%,55,34.85427011588242,
