symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a,stop_loss_pct
CSGP,1.0085222834375862,1.1803589169757827,61.77998571451247,52.34,,,-0.20815402038505104,0.44389805546541516,0.9951833263182794,1.1700153123953119,True,,,False,False,0.12053330584525646
W,1.0232607459302643,1.1792580147286327,107.19455353883272,90.9,0.18,False,0.36688590966701073,0.28333442429796435,0.9743542170123684,1.178240126595158,True,,,False,False,0.12883775417838672
GDYN,1.0135269282581902,1.1588627707577543,8.419138029555086,7.265,,,-0.15554650096770917,0.3394114521057524,0.9596099651855116,1.142823550370676,True,,,False,False,0.0796309976750802
LRCX,1.0212157080179047,1.1565382641151618,242.61859704607866,209.78,,,0.8432314213914187,0.8018527257432446,1.0890110645370426,1.155625929945689,True,,,True,True,-0.07693566183113021
IQV,1.0034517792192956,1.1476272069565878,232.14776955921334,202.285,,,0.2075045654148091,0.41076620790526336,0.9866830282054792,1.143533330929068,True,,,False,False,0.1416696791613763
MU,0.9946650600535987,1.1468578156882934,435.1178552721385,379.4,0.31,True,1.4143959322557342,0.8911539269570404,1.1447984457904232,1.153236771592944,True,,,True,True,-0.223272392931243
DAVA,1.0178453477911311,1.1461859024670995,6.378524547229409,5.565,,,-0.4438908068477061,0.2921906438631789,0.9693069747328332,1.1253464822568096,True,,,False,False,0.11639596957769549
SLP,1.0104242279476083,1.1451566938476503,16.971222202822176,14.82,-0.33,False,-0.13192916707645963,0.1901845832365915,0.8977107750765498,1.1329051050128995,True,,,False,False,0.14607423823031396
MAX,1.0154540301370378,1.1424770133920523,10.25944358026063,8.98,0.13,False,-0.09838191754845749,0.2432111446363228,0.9429635643621902,1.1244461589661197,True,,,False,False,0.11988582356119704
EPAM,1.0021987150258085,1.142318130591662,210.95188917636224,184.67,,,0.19682144427374793,0.4701920844796331,0.9968099022164574,1.13971923087598,True,,,False,False,0.11074449148468468
UIS,1.0228415636347599,1.1408500862048498,2.7608572086157364,2.42,0.35,True,-0.2859418135485241,0.26685599120556985,0.9376319268520076,1.114430051025033,True,,,False,False,0.03869915890087161
SPGI,1.0045285703181364,1.1394128892566684,530.4080940778717,465.51,0.18,False,0.027847687021294698,0.4871126688439521,1.0030552514982185,1.1340860781157167,True,,,False,False,0.11828786528750013
DDOG,1.0145285142877265,1.1339508926314437,131.20945778638435,115.71,0.15,False,-0.06266660274931746,0.550823768942941,1.0286323138669111,1.1171110300494964,True,,,False,False,-0.000896201133827601
COR,1.025069717603425,1.1287295408759064,372.8193673513119,330.3,,,0.15863067675172937,0.8912590308118452,1.0656290110182027,1.1276813513376323,True,,,True,True,0.013845444133579576
NDAQ,1.029480150677805,1.1267892669098603,99.70958222885352,88.49,,,0.08330880847221134,0.43021750959601174,1.0199529683083248,1.1255640631684776,True,,,False,False,0.09142844461362021
TEAD,1.0143219401166539,1.1264941009960272,0.6610267384644688,0.5868,,,-0.6409364474628678,0.4157303370786514,0.9970237382571173,1.1099994813761032,True,,,False,False,0.03584958031766772
MCO,1.0030173701987808,1.1250841840582022,518.8438223202805,461.16,,,0.051381986260965906,0.4526525382209209,0.9962075544868382,1.1215743020979134,True,,,False,False,0.10876725694775025
APH,1.0037216108305402,1.1197032897242851,145.55023063125984,129.99,,,0.25239041259839246,0.4035952543157196,0.983912868459811,1.1153979444598547,True,,,False,False,0.03110096620362479
MSCI,1.0220957854763733,1.1188099261440965,638.7733392327106,570.94,,,0.11057663592071454,1.1104097008941411,1.0781475936164358,1.117891534234199,True,,,True,True,-0.005248905227067335
PRU,1.0175544794016904,1.11297013813594,113.712159013349,102.17,0.06,False,0.06615464777388191,0.5004299272348153,1.0179046030269712,1.112241070722435,True,,,False,False,0.023413736033427668
GPCR,1.0045393408650014,1.1113586910900854,90.30900723798035,81.26,0.16,False,1.603703263613363,0.6779064897212135,1.0797540276066686,1.1061507334269778,True,,,True,True,-0.2580294512866884
MDB,1.0054434436098985,1.1108216232989154,375.0133800257139,337.6,,,0.28003890812694876,0.2848336261534926,0.952665348290189,1.1045850252292317,True,,,False,False,0.07701892067231775
CTSH,1.0262825478320066,1.1096832191536168,85.12379974127394,76.71,,,0.09955983125317447,0.456093920830224,1.0204732873941924,1.108604139684287,True,,,False,False,0.06279143016831301
ACN,1.0025190959578558,1.1073697582534174,267.5626809891907,241.62,,,-0.006530038325247789,0.3696361886429263,0.9780681884249834,1.1044841852568679,True,,,False,False,0.07693639460368051
TROW,1.0028408338545305,1.1024292875811106,106.95768948111935,97.02,,,0.06893074852213954,0.631498212132112,1.0147114468784744,1.102310705666208,True,,,False,False,0.06715726733584582
SNPS,1.0056935115759549,1.1000255420495273,460.888701607911,418.98,0.2,False,-0.07998036552039112,0.19207359274829808,0.9276778051275554,1.0935674433492897,True,,,False,False,0.11823485568110526
NWS,0.9983746932517703,1.0972706536627386,30.822332661386326,28.09,,,-0.025424798646703883,0.6702695212360557,1.0142762117704502,1.0991230882777299,True,,,False,False,0.06169596438160707
NWSA,1.0098757942066623,1.0965689442501405,27.074287233535973,24.69,,,-0.03400992331980146,0.653396484041645,1.0251334595534343,1.0854483662686112,True,,,False,False,0.05303542813812667
EBAY,1.0026009959769244,1.0953834588499631,94.02771610768083,85.84,,,0.11590515877076712,0.6037466489396481,1.0129240757926576,1.0952755563222543,True,,,False,False,0.04230818700960226
