bin,count,mean_f10_vs_a1_pct,trend_7d
<0%,20,-5.007666251127475,
0-2%,17,1.1838250372139587,
2-5%,30,3.293728385365045,
5-10%,40,7.609659196639915,
10-20%,39,14.71961637264954,
>20%,37,39.145142323347294,
