mode,f10_over_c1_max,f10_over_prev_min,sent7d_min,pct_above_sma200_min,bb_percent_b_min,support,win_rate,fulfill_rate,avg_ret10_vs_prev
core+sma,1.02,1.03,,-0.02,,193,0.44041450777202074,0.18652849740932642,-0.00473461866773575
core+sma,1.02,1.03,,0.0,,184,0.44021739130434784,0.19021739130434784,-0.004670401045490795
core+sma,1.02,1.03,,0.02,,167,0.437125748502994,0.19161676646706588,-0.0056101379566754084
core+sma,1.02,1.03,,0.05,,157,0.4267515923566879,0.1910828025477707,-0.0066961720230775375
core+sma,1.02,1.04,,-0.02,,141,0.45390070921985815,0.1702127659574468,0.0015896297576705627
core+sma,1.02,1.04,,0.0,,135,0.45185185185185184,0.17037037037037037,0.0017637349925641065
core+sma,1.02,1.04,,0.02,,120,0.45,0.16666666666666666,0.001107159219746979
core+sma,1.02,1.04,,0.05,,112,0.44642857142857145,0.16071428571428573,0.0006413081566781567
core+sma,1.02,1.05,,-0.02,,106,0.49056603773584906,0.16981132075471697,0.009185158696038528
core+sma,1.02,1.05,,0.0,,101,0.48514851485148514,0.16831683168316833,0.00938045431611835
core+sma,1.02,1.05,,0.02,,91,0.4725274725274725,0.16483516483516483,0.007639207618799974
core+sma,1.02,1.05,,0.05,,87,0.4827586206896552,0.16091954022988506,0.007789511528535883
core+sma,1.03,1.03,,-0.02,,294,0.46598639455782315,0.1836734693877551,-0.0054951801869834414
core+sma,1.03,1.03,,0.0,,274,0.4708029197080292,0.1897810218978102,-0.005266260792249122
core+sma,1.03,1.03,,0.02,,242,0.45041322314049587,0.19008264462809918,-0.007613505665399916
core+sma,1.03,1.03,,0.05,,219,0.4429223744292237,0.1963470319634703,-0.008699733297919383
core+sma,1.03,1.04,,-0.02,,202,0.48514851485148514,0.15841584158415842,-0.0010353494501155614
core+sma,1.03,1.04,,0.0,,187,0.4919786096256685,0.16042780748663102,-0.0006346262265778266
core+sma,1.03,1.04,,0.02,,161,0.4720496894409938,0.16149068322981366,-0.0030899556239353614
core+sma,1.03,1.04,,0.05,,146,0.4726027397260274,0.1643835616438356,-0.0038759635640772056
core+sma,1.03,1.05,,-0.02,,153,0.5163398692810458,0.1503267973856209,0.0045582279427764825
core+sma,1.03,1.05,,0.0,,139,0.5251798561151079,0.1510791366906475,0.005379187020009752
core+sma,1.03,1.05,,0.02,,120,0.49166666666666664,0.15,0.0013347952650108038
core+sma,1.03,1.05,,0.05,,112,0.5,0.15178571428571427,0.0008959198012311727
core+bb,1.02,1.03,,,0.4,127,0.48031496062992124,0.2204724409448819,0.007620465933767551
core+bb,1.02,1.03,,,0.5,94,0.5212765957446809,0.24468085106382978,0.011206304307244126
core+bb,1.02,1.03,,,0.6,73,0.5068493150684932,0.2054794520547945,0.01020980806686161
core+bb,1.02,1.04,,,0.4,80,0.5125,0.175,0.014324743697598088
core+bb,1.02,1.04,,,0.5,58,0.5517241379310345,0.1896551724137931,0.019335174267638727
core+bb,1.02,1.04,,,0.6,45,0.5777777777777777,0.2,0.025034047175578146
core+bb,1.02,1.05,,,0.4,50,0.52,0.16,0.0302974237529904
core+bb,1.02,1.05,,,0.5,36,0.5833333333333334,0.19444444444444445,0.042209726032780344
core+bb,1.02,1.05,,,0.6,27,0.5925925925925926,0.2222222222222222,0.05037332232371508
core+bb,1.03,1.03,,,0.4,180,0.45,0.21666666666666667,-0.0008586119836040776
core+bb,1.03,1.03,,,0.5,129,0.5193798449612403,0.24806201550387597,0.008346875264314824
core+bb,1.03,1.03,,,0.6,99,0.5252525252525253,0.23232323232323232,0.010210218628027857
core+bb,1.03,1.04,,,0.4,103,0.4854368932038835,0.18446601941747573,0.004863282515578308
core+bb,1.03,1.04,,,0.5,71,0.5492957746478874,0.19718309859154928,0.01604260262687093
core+bb,1.03,1.04,,,0.6,54,0.5740740740740741,0.2037037037037037,0.02105249412776006
core+bb,1.03,1.05,,,0.4,66,0.5,0.18181818181818182,0.017469846702516473
core+bb,1.03,1.05,,,0.5,44,0.5909090909090909,0.20454545454545456,0.038370423339830845
core+bb,1.03,1.05,,,0.6,33,0.6060606060606061,0.24242424242424243,0.044818759958438065
