symbol,signals,fulfilled_rate,avg_ret10d,std_ret10d,sharpe_proxy,avg_fulfill_ratio,avg_pred_edge,avg_sent7d,score
CDE,14,0.5,0.12160371358672054,0.08093796215756173,1.5024311255822687,1.0774609099114116,0.018281346717677196,0.3728571428571429,0.8379615077735967
MU,18,0.4444444444444444,0.16202338085726528,0.07580155999897305,2.137467630738211,1.1799734109077822,-0.0397357439841583,0.2644444444444444,0.8181223077214212
NESR,13,0.5384615384615384,0.03902962386522159,0.030731778909475007,1.2700086116130507,1.0511268229020971,-0.0075298258669237025,0.4242857142857143,0.8104563555471822
PACS,18,0.4444444444444444,0.15003817101504094,0.04697432549990717,3.194046309730141,1.1312605081271812,-0.002665730148141316,-0.07411764705882354,0.7763467078578097
VERA,18,0.3888888888888889,0.17596341184041173,0.15425330425465295,1.1407432255060035,1.3105736587626913,-0.037245580173571345,0.1927272727272727,0.7703107022710258
HBM,18,0.4444444444444444,0.10035958576656603,0.03679757799653046,2.7273421575743018,1.1094665867267515,-0.007908496399274692,0.16833333333333333,0.7658879386770738
HRTG,8,0.5,0.03744265944696925,0.07875615389992764,0.475425190195882,0.9983114407490934,0.026623038469354557,0.2750000000000001,0.7560859698168813
SLGN,10,0.5,0.029138533580380495,0.032359225201006016,0.9004706818343292,1.0122968068517693,0.012791794803859535,0.21999999999999997,0.7466689070218827
TWLO,18,0.3888888888888889,0.0599843203839015,0.036662025736572,1.636143098444898,1.0560827060936029,-0.0030526000854267563,0.27666666666666667,0.6995593561150415
UAL,14,0.35714285714285715,0.07304496303334744,0.02859997273264499,2.554022121495641,1.085080435677167,0.013208085659776722,0.1521428571428571,0.6776491020034975
LFST,15,0.4,0.06049902307747035,0.04078424890770621,1.4833918656778062,1.0475615886185483,0.007458681063336114,0.026000000000000002,0.6762797756847482
TX,18,0.4444444444444444,0.016658611263531395,0.017232443922572113,0.9667004481999749,1.0286426994907787,-0.011512880572139074,0.019374999999999996,0.6722217367447327
AENT,17,0.35294117647058826,0.06716965942704035,0.05907397263663693,1.1370432092014509,1.0974109066348456,-0.004077383800036893,0.12399999999999997,0.655435972865143
TBLA,15,0.3333333333333333,0.061201834775745,0.06501298945186534,0.9413785659104006,1.0379748177898556,0.006986473458379091,0.2866666666666667,0.6548454188198864
DDL,14,0.21428571428571427,0.182693636600613,0.16865800234925013,1.0832194977757323,1.1792111469581952,-0.010030534842504522,0.21899999999999994,0.6482936596443051
ALAB,12,0.16666666666666666,0.18928556548567044,0.04154477179019437,4.556182579160217,1.1299464620143167,0.013227305071272946,0.17833333333333332,0.6405676452796238
BA,14,0.2857142857142857,0.07140524804180404,0.018722790495909997,3.8138144021534903,1.0769792949963304,-9.301785593583492e-06,0.195,0.6387159072050024
SNDX,16,0.3125,0.047406224183950865,0.03730117697370058,1.2709042456589215,1.021196419571816,0.020699278941559728,0.325,0.6365898066144919
ITGR,15,0.4,0.06774982944908538,0.06348711829734377,1.0671429301890358,1.058499709830504,0.0047941650212268705,-0.3318181818181818,0.634455551948246
SHOP,18,0.3333333333333333,0.025517323784719617,0.042270283616414224,0.6036705127478925,1.0108602040844215,0.013974228994864175,0.27,0.6239515167505308
AMTM,18,0.3333333333333333,0.018640606659568473,0.02536169711686338,0.7349905084693268,1.020438494963009,-0.004334055677580908,0.29124999999999995,0.6225646529201234
BMRN,11,0.2727272727272727,0.08421572571141753,0.08415810180274687,1.0006847101756848,1.027648304150257,0.029480810475924112,0.24300000000000002,0.6218177041892385
ASIX,14,0.2857142857142857,0.06638536244635368,0.02692334259665403,2.465717702325858,1.034359196078296,0.015025526599066252,0.17166666666666666,0.6213910152988671
KINS,2,0.5,0.028728606356968056,0.0,,1.0294314577362829,0.005248355034084828,0.185,0.6170401009353734
CSTM,14,0.2857142857142857,0.03955146389453407,0.030883779534292267,1.2806549098246705,1.0437488118082525,-0.002886939351898971,0.31333333333333335,0.6095853948889763
PAR,13,0.3076923076923077,0.05918255557896599,0.05424318414386746,1.0910597619416662,1.0362421855469364,0.02367321606676796,0.063,0.6081333230339528
ZTS,12,0.3333333333333333,0.03329579304297438,0.04713412925233994,0.7064051796675852,0.9947774369486195,0.029502461142352332,0.07416666666666667,0.6064988935843804
SPNT,18,0.2777777777777778,0.021351228577506806,0.04148075017626828,0.5147261919511317,1.0300950604413697,-0.0022769661070117676,0.485,0.6052384217374704
ASML,18,0.3333333333333333,-0.0043862949137133955,0.05921449230857277,-0.07407468581940996,1.0244108768489593,-0.01677256342944001,0.33888888888888885,0.605046753611769
MDB,17,0.35294117647058826,0.022020767203943192,0.04425233157039853,0.4976182366552054,1.1219425894541228,-0.03641987513766682,0.022000000000000002,0.6047444601653771
CHMI,18,0.3888888888888889,0.034085489576563655,0.037798263195203526,0.9017739624843131,1.02903596484932,0.003513753515926902,,0.6002078823479412
TSLA,18,0.3333333333333333,0.02358859497885883,0.082251578202561,0.2867859255024528,1.0852977473255419,-0.044311655825521386,0.06777777777777777,0.5952445756397171
DXCM,13,0.38461538461538464,0.010696133640602687,0.016327334309951057,0.6551059369246632,1.0153294162529314,-4.797180386340881e-05,-0.23538461538461541,0.5897246907807914
SLVM,12,0.3333333333333333,-0.014581959065221112,0.04294329421460679,-0.33956312229677954,0.9908739035647559,-0.003135279588681881,0.29181818181818187,0.589687545744735
GPCR,14,0.21428571428571427,0.06929283595599783,0.04990298256338767,1.3885509922774821,1.0470718473769884,0.0012824161518361077,0.29076923076923084,0.5764205858891877
