scope,r4a_trades,cont_trades,r4a_win,r4a_win_ci_lo,r4a_win_ci_hi,r4a_mean,r4a_mean_ci_lo,r4a_mean_ci_hi,cont_win,cont_win_ci_lo,cont_win_ci_hi,cont_mean,cont_mean_ci_lo,cont_mean_ci_hi,diff_win,diff_win_ci_lo,diff_win_ci_hi,diff_mean,diff_mean_ci_lo,diff_mean_ci_hi
TOTAL,1155,1374,0.45194805194805193,0.4225108225108225,0.48138528138528136,-1.3729697292647438,-2.1226759147557344,-0.6747902980647548,0.4483260553129549,0.42066957787481807,0.475254730713246,-1.2942047905059308,-1.9107081986008962,-0.7130923276168812,-0.0036219966350970467,-0.044158018109983176,0.0360850866746063,0.07876493875881296,-0.8649442072510646,1.0517059566461822
2025-11,184,151,0.4945652173913043,0.42391304347826086,0.5652173913043478,-1.2418870454853093,-2.228096761568712,-0.3731310350905999,0.4900662251655629,0.4105960264900662,0.5695364238410596,-1.5812523266145362,-2.6082594247803272,-0.688621774266823,-0.004498992225741405,-0.11165149006622518,0.10164123236395045,-0.3393652811292269,-1.633687003158259,0.9181560835405416
2025-12,884,1098,0.4253393665158371,0.3936651583710407,0.4592760180995475,-1.926624197568794,-2.8203223472642063,-1.0935706865220187,0.424408014571949,0.39344262295081966,0.4553734061930783,-1.509461933992795,-2.1789456863109553,-0.8372876331200104,-0.0009313519438881035,-0.043623690543893014,0.043523601117622324,0.41716226357599906,-0.6727084838101385,1.5554186947653894
2026-01,87,125,0.632183908045977,0.5287356321839081,0.735632183908046,3.975436433555534,0.42142494807598885,8.477613674590392,0.608,0.52,0.688,0.943367381501879,-1.3992653624632958,3.918752492285832,-0.02418390804597703,-0.159632183908046,0.11431034482758606,-3.0320690520536546,-8.188775743015688,1.8302615267624849
