theta_ma20,bb_floor,regime_on,sent_required,persistence,n_trades,coverage_daily,win_rate,avg_ret_10d,sharpe_like,max_dd_like
1.01,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.5,0,0,1of1,1687,48.200,0.549,0.0100,0.118,3.731
1.01,0.5,0,0,2of3,1552,47.030,0.550,0.0093,0.111,3.884
1.01,0.5,0,0,3of4,1296,40.500,0.543,0.0088,0.109,4.706
1.01,0.5,0,0,3of5,1461,47.129,0.541,0.0094,0.114,4.311
1.01,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.6,0,0,1of1,1466,41.886,0.534,0.0083,0.097,4.946
1.01,0.6,0,0,2of3,1343,40.697,0.529,0.0072,0.085,4.869
1.01,0.6,0,0,3of4,1095,34.219,0.512,0.0050,0.062,6.047
1.01,0.6,0,0,3of5,1250,40.323,0.518,0.0062,0.075,5.797
1.01,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.65,0,0,1of1,1338,38.229,0.525,0.0064,0.075,4.807
1.01,0.65,0,0,2of3,1223,37.061,0.518,0.0051,0.060,5.482
1.01,0.65,0,0,3of4,996,31.125,0.504,0.0038,0.047,6.078
1.01,0.65,0,0,3of5,1139,36.742,0.507,0.0043,0.054,5.860
1.01,0.7,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.7,0,0,1of1,1182,33.771,0.521,0.0053,0.062,4.947
1.01,0.7,0,0,2of3,1077,32.636,0.509,0.0035,0.042,5.322
1.01,0.7,0,0,3of4,863,26.969,0.496,0.0025,0.031,5.416
1.01,0.7,0,0,3of5,1001,32.290,0.490,0.0024,0.031,5.715
1.01,0.75,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.01,0.75,0,0,1of1,1014,28.971,0.534,0.0063,0.073,3.981
1.01,0.75,0,0,2of3,917,27.788,0.517,0.0041,0.048,3.906
1.01,0.75,0,0,3of4,697,21.781,0.511,0.0038,0.046,4.016
1.01,0.75,0,0,3of5,824,26.581,0.511,0.0037,0.047,4.429
1.02,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.5,0,0,1of1,1555,44.429,0.544,0.0100,0.117,3.658
1.02,0.5,0,0,2of3,1434,43.455,0.545,0.0092,0.109,4.483
1.02,0.5,0,0,3of4,1186,37.062,0.537,0.0081,0.100,5.596
1.02,0.5,0,0,3of5,1347,43.452,0.541,0.0096,0.117,4.997
1.02,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.6,0,0,1of1,1376,39.314,0.534,0.0089,0.104,3.871
1.02,0.6,0,0,2of3,1262,38.242,0.532,0.0079,0.093,4.900
1.02,0.6,0,0,3of4,1024,32.000,0.517,0.0061,0.075,5.911
1.02,0.6,0,0,3of5,1168,37.677,0.518,0.0069,0.084,5.820
1.02,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.65,0,0,1of1,1268,36.229,0.524,0.0070,0.082,4.069
1.02,0.65,0,0,2of3,1162,35.212,0.521,0.0058,0.070,5.511
1.02,0.65,0,0,3of4,940,29.375,0.506,0.0045,0.056,6.044
1.02,0.65,0,0,3of5,1073,34.613,0.510,0.0054,0.067,5.853
1.02,0.7,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.7,0,0,1of1,1134,32.400,0.522,0.0056,0.066,4.310
1.02,0.7,0,0,2of3,1042,31.576,0.512,0.0040,0.047,5.288
1.02,0.7,0,0,3of4,830,25.938,0.500,0.0027,0.034,5.427
1.02,0.7,0,0,3of5,964,31.097,0.495,0.0028,0.035,5.662
1.02,0.75,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.02,0.75,0,0,1of1,980,28.000,0.534,0.0066,0.076,3.691
1.02,0.75,0,0,2of3,890,26.970,0.519,0.0045,0.052,3.944
1.02,0.75,0,0,3of4,676,21.125,0.512,0.0043,0.052,4.139
1.02,0.75,0,0,3of5,803,25.903,0.513,0.0043,0.053,4.509
1.03,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.5,0,0,1of1,1340,38.286,0.522,0.0096,0.108,3.922
1.03,0.5,0,0,2of3,1240,37.576,0.519,0.0080,0.092,4.953
1.03,0.5,0,0,3of4,1009,31.531,0.507,0.0067,0.080,5.897
1.03,0.5,0,0,3of5,1158,37.355,0.513,0.0070,0.084,5.869
1.03,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.6,0,0,1of1,1230,35.143,0.519,0.0090,0.102,4.448
1.03,0.6,0,0,2of3,1130,34.242,0.513,0.0082,0.093,4.538
1.03,0.6,0,0,3of4,906,28.312,0.497,0.0067,0.080,5.265
1.03,0.6,0,0,3of5,1053,33.968,0.501,0.0059,0.070,6.229
1.03,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.03,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
