month,trades,%win,%loss,avg_win_value,avg_loss_value,max_drawdown_value
2025-11,184,0.495,0.505,2.3796,-4.7855,250.5474
2025-12,884,0.425,0.575,3.9555,-6.2803,1716.08
2026-01,87,0.632,0.368,9.1634,-4.9413,39.6534
TOTAL,1155,0.452,0.548,4.2295,-5.993,1955.2794
