date,symbol,close,sma200,pct_above_sma200,bb_lower,bb_middle,bb_upper,bb_percent_b
2026-01-26,AHL,37.26,,,37.013,37.2005,37.388,0.6586666666666664
2026-01-26,AMTM,35.38,24.5155,0.4431686076155903,27.9739,32.528,37.0821,0.8131244373202174
2026-01-26,ARCO,7.78,7.1977,0.08090084332495096,7.1656,7.603,8.0404,0.702331961591221
2026-01-26,ASIX,17.07,19.8529,-0.14017599443909967,16.2719,17.4935,18.7151,0.3266617550753116
2026-01-26,ASML,1389.04,886.5356,0.5668180725060561,1010.0341,1232.6287,1455.2234,0.8513364988781175
2026-01-26,ATR,126.0,137.7412,-0.08524101721198885,120.3576,123.567,126.7764,0.8790428117405128
2026-01-26,BA,252.15,210.7032,0.1967070267561195,208.9503,234.413,259.8757,0.8482937787430244
2026-01-26,BABA,173.23,139.4022,0.2426633152131028,139.5353,159.0415,178.5477,0.8636920568844777
2026-01-26,BHVN,13.51,14.5157,-0.06928360327094119,9.5514,11.671,13.7906,0.9338082657105115
2026-01-26,BIIB,171.59,144.2061,0.18989418616826903,163.1062,176.392,189.6778,0.3192807358232099
2026-01-26,BWMX,19.02,11.911,0.5968432541348334,12.7927,16.17,19.5473,0.9219346815503509
2026-01-26,CAL,12.54,13.6834,-0.08356110323457633,12.0265,13.2361,14.4456,0.21226902567070344
2026-01-26,CCJ,124.04,77.3597,0.6034188343543214,85.2401,106.139,127.0379,0.9282761293656607
2026-01-26,CDE,26.11,13.2038,0.9774610339447736,15.8081,20.6,25.3919,1.0749285252196414
2026-01-26,CG,61.28,54.8885,0.11644515700010016,58.6044,63.1225,67.6406,0.2960979172661075
2026-01-26,CHMI,2.7,2.4927,0.08316283547960035,2.4947,2.624,2.7533,0.7938901778808983
2026-01-26,CLS,303.09,215.0329,0.4095052431511641,287.0378,305.138,323.2382,0.4434260394912755
2026-01-26,CON,21.55,20.7711,0.037499217663002904,18.7393,20.4755,22.2117,0.809440156663979
2026-01-26,CRNT,2.29,2.2395,0.022549676267023866,2.0314,2.2148,2.3981,0.7052086173984186
2026-01-26,CRNX,53.18,37.3179,0.4250533926078368,44.2917,51.7775,59.2633,0.5936773624729488
2026-01-26,CSTM,22.94,14.7549,0.554737748137907,17.7077,20.8695,24.0313,0.8274242520083497
2026-01-26,CVE,18.77,15.3692,0.22127371626369619,15.5848,17.2765,18.9682,0.9414198735000295
2026-01-26,CVNA,473.31,347.488,0.362090201676029,409.704,446.8555,484.007,0.8560354225266813
2026-01-26,CVX,166.72,148.1192,0.12557993831994763,147.5896,160.018,172.4464,0.7696244086125322
