theta_ma20,bb_floor,regime_on,sent_required,persistence,n_trades,coverage_daily,win_rate,avg_ret_10d,sharpe_like,max_dd_like
1.01,0.5,1,0,1of1,1380,53.077,0.478,0.0090,0.105,3.568
1.01,0.5,1,0,2of3,1283,49.346,0.443,0.0091,0.105,3.463
1.01,0.5,1,0,3of4,1001,41.708,0.448,0.0096,0.114,3.605
1.01,0.5,1,0,3of5,1280,47.407,0.438,0.0100,0.120,4.449
1.01,0.5,0,0,1of1,1744,48.444,0.485,0.0102,0.121,3.659
1.01,0.5,0,0,2of3,1588,46.706,0.449,0.0098,0.117,3.645
1.01,0.5,0,0,3of4,1324,40.121,0.454,0.0094,0.117,4.446
1.01,0.5,0,0,3of5,1489,46.531,0.440,0.0101,0.123,4.007
1.01,0.6,1,0,1of1,1209,46.500,0.479,0.0076,0.086,4.332
1.01,0.6,1,0,2of3,1106,42.538,0.436,0.0064,0.073,4.555
1.01,0.6,1,0,3of4,837,34.875,0.432,0.0052,0.061,4.769
1.01,0.6,1,0,3of5,1072,39.704,0.425,0.0061,0.073,5.873
1.01,0.6,0,0,1of1,1516,42.111,0.484,0.0085,0.099,4.891
1.01,0.6,0,0,2of3,1373,40.382,0.443,0.0078,0.092,4.594
1.01,0.6,0,0,3of4,1118,33.879,0.438,0.0059,0.072,5.788
1.01,0.6,0,0,3of5,1273,39.781,0.430,0.0070,0.085,5.496
1.01,0.65,1,0,1of1,1111,42.731,0.478,0.0061,0.069,4.052
1.01,0.65,1,0,2of3,1009,38.808,0.434,0.0054,0.062,4.778
1.01,0.65,1,0,3of4,761,31.708,0.434,0.0057,0.066,4.411
1.01,0.65,1,0,3of5,970,35.926,0.422,0.0054,0.064,5.719
1.01,0.65,0,0,1of1,1383,38.417,0.482,0.0067,0.078,4.751
1.01,0.65,0,0,2of3,1249,36.735,0.439,0.0057,0.067,5.208
1.01,0.65,0,0,3of4,1015,30.758,0.435,0.0046,0.057,5.894
1.01,0.65,0,0,3of5,1159,36.219,0.425,0.0052,0.064,5.558
1.01,0.7,1,0,1of1,997,38.346,0.482,0.0059,0.067,3.971
1.01,0.7,1,0,2of3,908,34.923,0.432,0.0048,0.055,4.314
1.01,0.7,1,0,3of4,676,28.167,0.430,0.0049,0.058,3.615
1.01,0.7,1,0,3of5,861,31.889,0.416,0.0036,0.044,5.010
1.01,0.7,0,0,1of1,1224,34.000,0.484,0.0056,0.066,4.876
1.01,0.7,0,0,2of3,1099,32.324,0.430,0.0038,0.046,5.201
1.01,0.7,0,0,3of4,877,26.576,0.422,0.0027,0.034,5.412
1.01,0.7,0,0,3of5,1016,31.750,0.408,0.0030,0.037,5.680
1.01,0.75,1,0,1of1,869,33.423,0.502,0.0076,0.085,3.166
1.01,0.75,1,0,2of3,782,30.077,0.448,0.0058,0.066,2.941
1.01,0.75,1,0,3of4,556,23.167,0.457,0.0073,0.085,2.920
1.01,0.75,1,0,3of5,709,26.259,0.440,0.0056,0.067,3.750
1.01,0.75,0,0,1of1,1048,29.111,0.498,0.0067,0.078,4.038
1.01,0.75,0,0,2of3,931,27.382,0.443,0.0040,0.047,3.906
1.01,0.75,0,0,3of4,703,21.303,0.442,0.0038,0.046,3.982
1.01,0.75,0,0,3of5,833,26.031,0.429,0.0042,0.052,4.395
1.02,0.5,1,0,1of1,1270,48.846,0.477,0.0094,0.108,3.061
1.02,0.5,1,0,2of3,1182,45.462,0.441,0.0089,0.103,4.419
1.02,0.5,1,0,3of4,910,37.917,0.444,0.0085,0.103,4.732
1.02,0.5,1,0,3of5,1173,43.444,0.436,0.0094,0.114,5.629
1.02,0.5,0,0,1of1,1608,44.667,0.481,0.0103,0.121,3.445
1.02,0.5,0,0,2of3,1466,43.118,0.449,0.0097,0.116,4.239
1.02,0.5,0,0,3of4,1212,36.727,0.455,0.0088,0.109,5.337
