month,trades,%win,%loss,avg_win_value,avg_loss_value,max_drawdown_value
2025-11,151,0.49,0.51,1.5735,-4.613,247.0006
2025-12,1098,0.424,0.576,4.1848,-5.7081,1650.9626
2026-01,125,0.608,0.392,5.9508,-6.8233,83.0006
TOTAL,1374,0.448,0.552,4.089,-5.669,1950.8228
