row,count,win,loss,usd_win,usd_loss,usd_total
total,5,1,3,16.568047337278244,-62.982559439432634,-46.41451210215439
sent_ge_0.1,3,0,2,0,-16.671304727531833,-16.671304727531833
sent_lt_0.1,1,0,1,0,-46.3112547119008,-46.3112547119008
no_sent,1,1,0,16.568047337278244,0,16.568047337278244
