row,count,win,loss,usd_win,usd_loss,usd_total
total,2,1,1,0.4427521473478464,-0.47993856786342803,-0.03718642051558163
sent_ge_0.1,1,1,0,0.4427521473478464,0,0.4427521473478464
sent_lt_0.1,1,0,1,0,-0.47993856786342803,-0.47993856786342803
no_sent,0,0,0,0,0,0
