row,count,win,loss,usd_win,usd_loss,usd_total
total,11,9,2,201.26861386405153,-14.514355423446318,186.7542584406052
sent_ge_0.1,4,4,0,75.82765729574328,0,75.82765729574328
sent_lt_0.1,4,3,1,69.1418813058607,-8.316008316008265,60.82587298985243
no_sent,3,2,1,56.29907526244756,-6.198347107438053,50.100728155009506
