row,count,win,loss,usd_win,usd_loss,usd_total
total,24,18,4,515.6307244549486,-39.60575705768167,476.0249673972669
sent_ge_0.1,13,10,2,251.24767711342577,-24.30323012724773,226.94444698617804
sent_lt_0.1,2,2,0,27.41722652824774,0,27.41722652824774
no_sent,9,6,2,236.96582081327506,-15.302526930433942,221.66329388284112
