row,count,win,loss,usd_win,usd_loss,usd_total
total,5,2,3,21.023256519131337,-43.03883599515518,-22.015579476023845
sent_ge_0.1,4,1,3,15.681544028950498,-43.03883599515518,-27.357291966204684
sent_lt_0.1,1,1,0,5.341712490180839,0,5.341712490180839
no_sent,0,0,0,0,0,0
