row,count,win,loss,usd_win,usd_loss,usd_total
total,3,1,2,11.566490606405068,-46.86869351583732,-35.30220290943225
sent_ge_0.1,2,1,1,11.566490606405068,-42.27099236641209,-30.70450176000702
sent_lt_0.1,0,0,0,0,0,0
no_sent,1,0,1,0,-4.597701149425234,-4.597701149425234
