row,count,win,loss,usd_win,usd_loss,usd_total
total,16,3,13,22.285815553728867,-256.72806026491696,-234.4422447111881
sent_ge_0.1,9,2,7,15.474746031730774,-127.30091506308634,-111.82616903135556
sent_lt_0.1,4,1,3,6.811069521998093,-87.35624555078459,-80.5451760287865
no_sent,3,0,3,0,-42.070899651046034,-42.070899651046034
