row,count,win,loss,usd_win,usd_loss,usd_total
total,15,1,14,21.950753960679435,-581.4092489143853,-559.4584949537059
sent_ge_0.1,2,0,2,0,-78.21604879583992,-78.21604879583992
sent_lt_0.1,4,1,3,21.950753960679435,-85.65292861845523,-63.7021746577758
no_sent,9,0,9,0,-417.54027150009017,-417.54027150009017
